name,start_date_local,type,distance_meters,moving_time_sec,elapsed_time,elevation_gain_m,average_heartrate,max_heartrate,average_speed,start_time,start_date,week_start,distance_miles,elevation_gain_ft,moving_time,running_pace,avg_speed_mph
Berryessa,2020-11-23T09:24:24Z,Ride,25183.9,3600,01:00:00,0.0,,,6.996,09:24:24,2020-11-23,2020-11-23,15.6519,0.0,01:00:00,,15.65
Afternoon Run,2020-11-22T13:17:34Z,Run,12474.0,3707,01:09:27,72.0,,,3.365,13:17:34,2020-11-22,2020-11-16,7.7526,236.22,01:01:47,07:58,7.53
Ramp Test,2020-11-19T09:08:56Z,Ride,17599.7,2348,00:39:08,0.0,,,7.496,09:08:56,2020-11-19,2020-11-16,10.9383,0.0,00:39:08,,16.77
Low and slow,2020-11-18T13:43:46Z,Ride,21759.0,3690,01:01:30,3.0,,,5.897,13:43:46,2020-11-18,2020-11-16,13.5233,9.84,01:01:30,,13.19
Lunch Ride,2020-11-16T11:34:09Z,Ride,20935.0,2758,00:46:47,3.0,,,7.591,11:34:09,2020-11-16,2020-11-16,13.0112,9.84,00:45:58,,16.98
Meh,2020-11-15T12:31:55Z,Ride,28163.0,3672,01:02:50,3.0,,,7.67,12:31:55,2020-11-15,2020-11-09,17.5034,9.84,01:01:12,,17.16
Forgot to unpause. Missed 1ish mile,2020-11-13T17:29:25Z,Run,7370.0,2214,00:54:21,36.0,,,3.3289999999999997,17:29:25,2020-11-13,2020-11-09,4.5805,118.11,00:36:54,08:03,7.45
Quick mile on the track,2020-11-10T12:03:49Z,Run,8530.0,2220,00:40:34,27.0,162.1,202.0,3.842,12:03:49,2020-11-10,2020-11-09,5.3014,88.58,00:37:00,06:58,8.59
That was...hot?,2020-11-09T11:46:35Z,Run,12057.0,3228,00:54:02,60.0,164.0,180.0,3.735,11:46:35,2020-11-09,2020-11-09,7.4935,196.85,00:53:48,07:10,8.35
Heavy stroller and windy = ugh,2020-11-07T11:34:02Z,Run,21502.0,5929,01:58:05,93.0,164.7,213.0,3.627,11:34:02,2020-11-07,2020-11-02,13.3636,305.12,01:38:49,07:23,8.11
Pushing a heavy stroller,2020-11-05T16:01:57Z,Run,10866.0,3038,00:52:36,45.0,,,3.577,16:01:57,2020-11-05,2020-11-02,6.7533,147.64,00:50:38,07:29,8.0
Treadmill,2020-11-03T06:10:35Z,Run,8513.0,2340,00:39:00,0.0,,,3.638,06:10:35,2020-11-03,2020-11-02,5.2909,0.0,00:39:00,07:22,8.14
Forgot to start watch,2020-11-01T08:36:02Z,Run,3209.0,1045,00:31:39,31.0,151.8,189.0,3.071,08:36:02,2020-11-01,2020-10-26,1.9944,101.71,00:17:25,08:43,6.87
